Temp,DO,% Sat,pH,Conductivity,Flow2,Nitrate + Nitrite
12.50,9.30,,7.80,843,,2.800
12.20,9.50,,7.90,791,,1.800
19.90,8.70,,8.10,1031,,5.000
20.40,8.50,,8.10,980,,3.900
24.90,7.30,,8.30,947,,3.500
25.10,7.10,,8.30,872,,2.400
18.12,7.35,78.2,7.74,783,54.31,5.700
26.67,6.10,77.2,7.70,597,36.13,0.300
27.55,2.51,31.2,7.23,820,15.35,0.020
18.54,3.43,37.7,7.18,804,19.37,0.120
22.05,5.08,56.2,7.37,601,123.66,0.400
24.87,7.65,75.1,7.63,621,94.78,0.080
16.56,6.30,65.6,7.20,930,30.87,0.110
19.53,8.28,90.7,8.05,774,49.07,0.140
24.91,6.75,81.6,7.82,739,3.40,0.360
16.80,5.25,60.3,7.65,642,1.19,2.300
20.20,5.20,64.0,8.06,1378,,0.490
25.93,7.32,93.0,7.69,820,65.84,0.670
21.17,7.11,81.9,7.88,831,,2.600
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20.90,7.90,,7.90,902,,4.000
21.10,7.50,,7.80,851,,2.200
18.00,7.30,,7.70,618,,1.300
17.80,7.20,,7.70,532,,1.400
12.70,6.70,64.9,7.35,858,72.07,1.900
12.16,8.66,82.7,7.82,641,78.47,0.310
12.83,6.60,64.0,7.38,768,0.17,<0.0070
10.73,6.75,62.5,7.49,934,11.33,0.220
10.55,7.74,71.3,7.60,700,175.17,0.400
12.93,8.07,78.5,7.80,868,97.83,<0.0070
14.86,8.65,87.8,7.57,918,56.72,0.210
15.40,8.30,85.2,7.82,824,73.11,0.150
16.79,9.23,97.6,8.03,734,27.72,0.076
16.28,8.86,92.5,8.18,629,40.52,0.013
18.84,11.91,131.3,8.33,813,16.23,0.740
15.31,8.40,86.3,7.73,1433,19.85,1.700
17.08,11.15,118.5,7.96,714,238.17,0.250
,,,,,,0.250
16.54,8.56,90.0,7.94,851,,1.800
19.20,8.40,,8.00,992,797.32,4.000
21.80,7.90,,8.00,930,,2.800
13.30,6.42,61.5,7.42,812,52.16,2.600
14.40,8.78,85.9,7.82,623,84.07,0.140
13.70,6.52,62.8,7.44,789,25.82,<0.0070
11.30,7.06,64.4,7.41,869,16.85,0.057
13.00,7.11,68.0,7.58,634,241.20,0.260
15.60,8.72,87.7,7.90,266,126.07,0.043
15.90,8.82,85.3,7.66,801,37.89,0.190
14.80,8.98,88.6,7.99,728,102.54,0.260
